Tag,PropertyName,DefaultValue,RuntimeModifiable,FileType
5.1.2,autoGenerateTestcaseScript,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.2,cacheCallableStmts,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.2,clientInfoProvider,"DEFAULT_VALUE_""com.mysql.jdbc.jdbc4commentclientinfoprovider""",UNKNOWN,ConnectionPropertiesImpl
5.1.2,connectTimeout,DEFAULT_VALUE_0,UNKNOWN,ConnectionPropertiesImpl
5.1.2,defaultFetchSize,DEFAULT_VALUE_0,UNKNOWN,ConnectionPropertiesImpl
5.1.2,emptyStringsConvertToZero,DEFAULT_VALUE_TRUE,UNKNOWN,ConnectionPropertiesImpl
5.1.2,emulateLocators,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.2,generateSimpleParameterMetadata,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.2,initialTimeout,DEFAULT_VALUE_2,UNKNOWN,ConnectionPropertiesImpl
5.1.2,netTimeoutForStreamingResults,DEFAULT_VALUE_600,UNKNOWN,ConnectionPropertiesImpl
5.1.2,pedantic,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.2,pinGlobalTxToPhysicalConnection,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.2,populateInsertRowWithDefaultValues,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.2,prepStmtCacheSize,DEFAULT_VALUE_25,UNKNOWN,ConnectionPropertiesImpl
5.1.2,reconnectAtTxEnd,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.2,requireSSL,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.2,resultSetSizeThreshold,DEFAULT_VALUE_100,UNKNOWN,ConnectionPropertiesImpl
5.1.2,strictFloatingPoint,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.2,traceProtocol,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.2,treatUtilDateAsTimestamp,DEFAULT_VALUE_TRUE,UNKNOWN,ConnectionPropertiesImpl
5.1.2,useDirectRowUnpack,DEFAULT_VALUE_TRUE,UNKNOWN,ConnectionPropertiesImpl
5.1.2,useUnbufferedInput,DEFAULT_VALUE_TRUE,UNKNOWN,ConnectionPropertiesImpl
5.1.2,useGmtMillisForDatetimes,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.2,dumpMetadataOnColumnNotFound,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,autoGenerateTestcaseScript,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,autoSlowLog,DEFAULT_VALUE_TRUE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,blobsAreStrings,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,functionsNeverReturnBlobs,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,cacheCallableStmts,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,clientInfoProvider,"DEFAULT_VALUE_""com.mysql.jdbc.jdbc4commentclientinfoprovider""",UNKNOWN,ConnectionPropertiesImpl
5.1.5,connectTimeout,DEFAULT_VALUE_0,UNKNOWN,ConnectionPropertiesImpl
5.1.5,defaultFetchSize,DEFAULT_VALUE_0,UNKNOWN,ConnectionPropertiesImpl
5.1.5,emptyStringsConvertToZero,DEFAULT_VALUE_TRUE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,emulateLocators,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,generateSimpleParameterMetadata,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,includeInnodbStatusInDeadlockExceptions,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,initialTimeout,DEFAULT_VALUE_2,UNKNOWN,ConnectionPropertiesImpl
5.1.5,netTimeoutForStreamingResults,DEFAULT_VALUE_600,UNKNOWN,ConnectionPropertiesImpl
5.1.5,noAccessToProcedureBodies,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,pedantic,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,pinGlobalTxToPhysicalConnection,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,populateInsertRowWithDefaultValues,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,prepStmtCacheSize,DEFAULT_VALUE_25,UNKNOWN,ConnectionPropertiesImpl
5.1.5,reconnectAtTxEnd,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,requireSSL,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,resultSetSizeThreshold,DEFAULT_VALUE_100,UNKNOWN,ConnectionPropertiesImpl
5.1.5,strictFloatingPoint,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,traceProtocol,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,treatUtilDateAsTimestamp,DEFAULT_VALUE_TRUE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,useBlobToStoreUTF8OutsideBMP,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,useDirectRowUnpack,DEFAULT_VALUE_TRUE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,useUnbufferedInput,DEFAULT_VALUE_TRUE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,useGmtMillisForDatetimes,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.5,dumpMetadataOnColumnNotFound,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,autoGenerateTestcaseScript,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,autoSlowLog,DEFAULT_VALUE_TRUE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,blobsAreStrings,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,functionsNeverReturnBlobs,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,cacheCallableStmts,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,clientInfoProvider,"DEFAULT_VALUE_""com.mysql.jdbc.jdbc4commentclientinfoprovider""",UNKNOWN,ConnectionPropertiesImpl
5.1.4,connectTimeout,DEFAULT_VALUE_0,UNKNOWN,ConnectionPropertiesImpl
5.1.4,defaultFetchSize,DEFAULT_VALUE_0,UNKNOWN,ConnectionPropertiesImpl
5.1.4,emptyStringsConvertToZero,DEFAULT_VALUE_TRUE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,emulateLocators,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,generateSimpleParameterMetadata,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,includeInnodbStatusInDeadlockExceptions,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,initialTimeout,DEFAULT_VALUE_2,UNKNOWN,ConnectionPropertiesImpl
5.1.4,netTimeoutForStreamingResults,DEFAULT_VALUE_600,UNKNOWN,ConnectionPropertiesImpl
5.1.4,noAccessToProcedureBodies,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,pedantic,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,pinGlobalTxToPhysicalConnection,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,populateInsertRowWithDefaultValues,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,prepStmtCacheSize,DEFAULT_VALUE_25,UNKNOWN,ConnectionPropertiesImpl
5.1.4,reconnectAtTxEnd,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,requireSSL,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,resultSetSizeThreshold,DEFAULT_VALUE_100,UNKNOWN,ConnectionPropertiesImpl
5.1.4,strictFloatingPoint,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,traceProtocol,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,treatUtilDateAsTimestamp,DEFAULT_VALUE_TRUE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,useBlobToStoreUTF8OutsideBMP,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,useDirectRowUnpack,DEFAULT_VALUE_TRUE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,useUnbufferedInput,DEFAULT_VALUE_TRUE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,useGmtMillisForDatetimes,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.4,dumpMetadataOnColumnNotFound,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.3,autoGenerateTestcaseScript,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.3,blobsAreStrings,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.3,functionsNeverReturnBlobs,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.3,cacheCallableStmts,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.3,clientInfoProvider,"DEFAULT_VALUE_""com.mysql.jdbc.jdbc4commentclientinfoprovider""",UNKNOWN,ConnectionPropertiesImpl
5.1.3,connectTimeout,DEFAULT_VALUE_0,UNKNOWN,ConnectionPropertiesImpl
5.1.3,defaultFetchSize,DEFAULT_VALUE_0,UNKNOWN,ConnectionPropertiesImpl
5.1.3,emptyStringsConvertToZero,DEFAULT_VALUE_TRUE,UNKNOWN,ConnectionPropertiesImpl
5.1.3,emulateLocators,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.3,generateSimpleParameterMetadata,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.3,includeInnodbStatusInDeadlockExceptions,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.3,initialTimeout,DEFAULT_VALUE_2,UNKNOWN,ConnectionPropertiesImpl
5.1.3,netTimeoutForStreamingResults,DEFAULT_VALUE_600,UNKNOWN,ConnectionPropertiesImpl
5.1.3,noAccessToProcedureBodies,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.3,pedantic,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.3,pinGlobalTxToPhysicalConnection,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.3,populateInsertRowWithDefaultValues,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
5.1.3,prepStmtCacheSize,DEFAULT_VALUE_25,UNKNOWN,ConnectionPropertiesImpl
5.1.3,reconnectAtTxEnd,DEFAULT_VALUE_FALSE,UNKNOWN,ConnectionPropertiesImpl
